iter	Passed	Remaining
0	2	237
1	5	247
2	7	253
3	9	234
4	12	237
5	14	231
6	18	249
7	21	251
8	24	248
9	27	243
10	29	235
11	31	234
12	33	227
13	36	221
14	38	218
15	40	213
16	43	210
17	44	204
18	47	200
19	49	196
20	51	192
21	53	189
22	55	184
23	57	180
24	59	177
25	61	173
26	63	171
27	65	167
28	66	163
29	69	161
30	71	158
31	73	155
32	74	151
33	76	149
34	78	146
35	80	143
36	82	140
37	84	137
38	86	135
39	88	132
40	89	129
41	90	125
42	93	123
43	95	121
44	96	118
45	98	116
46	101	114
47	103	112
48	104	108
49	106	106
50	108	104
51	110	101
52	111	99
53	113	96
54	115	94
55	116	91
56	118	89
57	120	87
58	123	85
59	125	83
60	128	82
61	131	80
62	133	78
63	135	76
64	137	73
65	139	71
66	140	69
67	143	67
68	145	65
69	147	63
70	148	60
71	150	58
72	153	56
73	154	54
74	156	52
75	158	50
76	160	47
77	162	45
78	164	43
79	166	41
80	168	39
81	170	37
82	172	35
83	174	33
84	176	31
85	178	29
86	180	26
87	182	24
88	184	22
89	186	20
90	189	18
91	191	16
92	193	14
93	195	12
94	197	10
95	199	8
96	201	6
97	203	4
98	205	2
99	207	0
