iter	Passed	Remaining
0	135	135021
1	137	68364
2	138	46099
3	139	34841
4	142	28279
5	144	23950
6	145	20649
7	147	18266
8	148	16316
9	149	14770
10	150	13520
11	151	12469
12	152	11591
13	153	10812
14	154	10155
15	155	9558
16	156	9062
17	158	8640
18	159	8219
19	160	7869
20	161	7551
21	163	7252
22	164	6977
23	164	6707
24	166	6477
25	166	6255
26	167	6043
27	168	5849
28	169	5671
29	170	5502
30	170	5342
31	171	5190
32	172	5044
33	172	4910
34	173	4782
35	175	4701
36	176	4586
37	176	4478
38	177	4378
39	178	4281
40	179	4190
41	179	4102
42	180	4022
43	181	3941
44	182	3865
45	182	3792
46	183	3720
47	184	3651
48	184	3589
49	185	3524
50	186	3466
51	187	3409
52	187	3355
53	188	3300
54	189	3247
55	189	3200
56	190	3150
57	191	3103
58	191	3058
59	192	3017
60	193	2975
61	194	2938
62	195	2900
63	196	2867
64	196	2828
65	197	2797
66	198	2763
67	199	2733
68	200	2701
69	200	2667
70	201	2634
71	202	2604
72	202	2576
73	203	2547
74	204	2519
75	205	2494
76	205	2468
77	206	2443
78	207	2417
79	208	2393
80	208	2368
81	209	2344
82	209	2317
83	210	2293
84	210	2271
85	211	2248
86	212	2226
87	212	2205
88	213	2185
89	214	2166
90	214	2146
91	215	2126
92	216	2109
93	217	2094
94	218	2078
95	218	2061
96	219	2046
97	220	2031
98	221	2014
99	222	2000
100	223	1985
101	224	1972
102	224	1957
103	225	1941
104	226	1926
105	226	1911
106	227	1895
107	227	1882
108	228	1868
109	229	1855
110	229	1841
111	230	1829
112	231	1818
113	232	1806
114	233	1795
115	234	1783
116	234	1772
117	235	1761
118	236	1750
119	237	1738
120	237	1727
121	238	1715
122	239	1704
123	239	1693
124	240	1682
125	241	1671
126	241	1660
127	242	1649
128	242	1639
129	243	1629
130	244	1620
131	244	1609
132	245	1599
133	246	1590
134	246	1582
135	247	1573
136	248	1565
137	249	1557
138	249	1548
139	250	1539
140	251	1531
141	251	1521
142	252	1512
143	252	1503
144	253	1495
145	254	1487
146	255	1479
147	255	1470
148	256	1463
149	257	1456
150	257	1448
151	258	1440
152	258	1433
153	259	1425
154	260	1417
155	260	1410
156	261	1405
157	262	1397
158	262	1390
159	263	1383
160	263	1375
161	264	1369
162	265	1363
163	266	1358
164	267	1351
165	267	1345
166	268	1339
167	269	1333
168	270	1327
169	270	1321
170	271	1315
171	271	1308
172	272	1303
173	273	1297
174	274	1291
175	274	1286
176	275	1280
177	275	1274
178	276	1269
179	277	1263
180	278	1259
181	279	1254
182	279	1248
183	280	1244
184	281	1239
185	282	1234
186	282	1230
187	283	1225
188	284	1220
189	285	1215
190	285	1209
191	286	1204
192	286	1199
193	287	1195
194	288	1189
195	288	1185
196	289	1180
197	290	1175
198	291	1171
199	291	1166
200	292	1161
201	292	1157
202	293	1152
203	294	1148
204	295	1144
205	295	1140
206	296	1135
207	297	1132
208	298	1128
209	298	1123
210	299	1119
211	300	1115
212	300	1111
213	301	1107
214	302	1103
215	302	1098
216	303	1094
217	303	1090
218	304	1085
219	304	1081
220	305	1077
221	306	1074
222	307	1071
223	308	1067
224	308	1063
225	309	1060
226	310	1056
227	310	1052
228	311	1048
229	312	1045
230	312	1041
231	313	1037
232	314	1034
233	314	1030
234	315	1026
235	316	1023
236	316	1020
237	317	1016
238	318	1012
239	318	1009
240	319	1006
241	320	1003
242	321	1000
243	321	997
244	322	993
245	323	990
246	323	987
247	324	983
248	325	980
249	326	978
250	326	974
251	327	971
252	327	968
253	328	964
254	329	961
255	329	958
256	330	955
